Timestamp,CPU,Frontend_Bound,Bad_Speculation,Retiring,Frontend_Bound.Frontend_Latency,Frontend_Bound.Frontend_Bandwidth,Retiring.Microcode_Sequencer,Frontend_Bound.Frontend_Bandwidth.MITE,CoreIPC,SMT_2T_Utilization,FLOPc,FP_Arith_Utilization,ILP,Branch_Misprediction_Cost,MLP,Page_Walks_Utilization,Turbo_Utilization,Frequency,Frontend_Bound.Frontend_Latency.Branch_Resteers,Frontend_Bound.Frontend_Latency.MS_Switches,Backend_Bound.Memory_Bound.L1_Bound.Lock_Latency,Backend_Bound.Memory_Bound.L3_Bound.L3_Hit_Latency,Backend_Bound.Memory_Bound.Store_Bound.Store_Latency,Load_Miss_Real_Latency,IPC,SLOTS,UPI,CPI,IPTB,BPTB,IPB,IPCall,IFetch_Line_Utilization,DSB_Coverage,CLKS,Instructions,CPU_Utilization,Time,IPL,IPS,IPArith_Scalar_DP,BAClear_Cost,CORE_CLKS,L1D_Cache_Fill_BW,L2_Cache_Fill_BW,L1MPKI,L2MPKI,L3MPKI,TSX_Transactional_Cycles,MEM_Request_Latency,MEM_Parallel_Requests,Socket_CLKS,MUX,Context switches,Minor faults,Migrations,Backend_Bound,Backend_Bound.Memory_Bound,Backend_Bound.Core_Bound,Backend_Bound.Memory_Bound.L3_Bound.SQ_Full,Backend_Bound.Core_Bound.Ports_Utilization.1_Port_Utilized,Backend_Bound.Memory_Bound.L1_Bound,Backend_Bound.Memory_Bound.L2_Bound,Backend_Bound.Memory_Bound.L3_Bound,Backend_Bound.Memory_Bound.MEM_Bound,Backend_Bound.Memory_Bound.L1_Bound.DTLB_Load,Backend_Bound.Memory_Bound.L1_Bound.FB_Full,Backend_Bound.Memory_Bound.MEM_Bound.MEM_Bandwidth,Backend_Bound.Memory_Bound.MEM_Bound.MEM_Latency,LSD_Coverage,Major faults,GFLOPs,MEM_BW_Use,Cores Energy,Package Energy,RAM Energy,IPArith_Scalar_SP,Retiring.Base,Retiring.Base.Other
1.005815407,C0-T0,101.42,7.63,37.80,26.38,11.93,7.42,14.53,0.42,1.00,0.00,0.00,2.84,77.29,1.95,0.06,1.15,1.15,101.42,7.63,37.80,26.38,11.93,7.42,14.53,0.42,1.00,0.00,0.00,2.84,77.29,1.95,0.06,1.15,1.15,,,,,,,,,,,,,,,,,,,,,,101.42,7.63,37.80,26.38,0.06,7.63,37.80,26.38,,,,,,,,,101.42,7.63,37.80,26.38,,26.38,101.42
1.005815407,C1,6.15,9.32,0.06,7.52,10.02,35.13,0.17,647865746.00,2.38,5.75,7.54,1.72,4.82,24.79,0.33,0.24,47625373.00,6.15,9.32,0.06,7.52,10.02,35.13,0.17,647865746.00,2.38,5.75,7.54,1.72,4.82,24.79,0.33,0.24,47625373.00,8276015.00,0.06,0.69,3.12,3.36,465793.45,13.07,161966436.50,0.24,0.58,16.12,7.38,1.64,1.00,131.47,4.58,2809657786.00,1.59,186.00,25.00,17.00,6.15,9.32,0.06,7.52,0.33,9.32,0.06,7.52,1.00,131.47,4.58,2809657786.00,1.59,186.00,17.00,25.00,6.15,9.32,0.06,7.52,17.00,7.52,6.15
1.005815407,C1-T0,42.61,23.47,19.14,0.86,,,,1.66,0.20,,,3.23,112.23,1.37,0.02,1.15,1.15,42.61,23.47,19.14,0.86,,,,1.66,0.20,,,3.23,112.23,1.37,0.02,1.15,1.15,,,,,,,,,,,,,,,,,,,,,,42.61,23.47,19.14,0.86,0.02,23.47,19.14,0.86,,,,,,,,,42.61,23.47,19.14,0.86,,0.86,42.61
1.005815407,C0-T1,4.80,10.11,0.01,20.05,1.93,24.21,1.77,6129741072.00,1.01,0.57,8.52,1.61,5.26,41.98,0.55,0.88,2807845632.00,4.80,10.11,0.01,20.05,1.93,24.21,1.77,6129741072.00,1.01,0.57,8.52,1.61,5.26,41.98,0.55,0.88,2807845632.00,4957019790.00,0.86,0.69,3.84,6.58,1531.87,10.44,1532435268.00,4.25,3.20,5.79,2.60,0.51,1.00,131.47,4.58,2809657786.00,1.59,84.00,13527.00,9.00,4.80,10.11,0.01,20.05,0.55,10.11,0.01,20.05,1.00,131.47,4.58,2809657786.00,1.59,84.00,9.00,13527.00,4.80,10.11,0.01,20.05,9.00,20.05,4.80
1.005815407,C1-T1,6.15,5.20,0.30,21.84,9.12,22.93,0.41,632456128.00,1.14,2.44,9.83,2.28,4.39,49.05,0.49,0.53,310044679.00,6.15,5.20,0.30,21.84,9.12,22.93,0.41,632456128.00,1.14,2.44,9.83,2.28,4.39,49.05,0.49,0.53,310044679.00,126862343.00,0.20,0.69,3.61,6.15,208036.53,7.65,158114032.00,1.08,2.01,8.69,4.34,1.98,1.00,131.47,4.58,2809657786.00,1.59,276.00,6176.00,16.00,6.15,5.20,0.30,21.84,0.49,5.20,0.30,21.84,1.00,131.47,4.58,2809657786.00,1.59,276.00,16.00,6176.00,6.15,5.20,0.30,21.84,16.00,21.84,6.15
1.005815407,S0,4.80,4.69,0.28,23.34,17.41,101.38,0.27,6108950254.00,2.00,3.71,4.66,1.52,4.10,152.60,0.34,0.27,461646975.00,4.80,4.69,0.28,23.34,17.41,101.38,0.27,6108950254.00,2.00,3.71,4.66,1.52,4.10,152.60,0.34,0.27,461646975.00,124404415.00,0.03,0.69,3.65,30.65,,12.96,1527237563.50,0.01,0.03,23.98,12.00,9.02,1.00,131.47,4.58,2809657786.00,1.59,270.00,12.00,18.00,4.80,4.69,0.28,23.34,0.34,4.69,0.28,23.34,1.00,131.47,4.58,2809657786.00,1.59,270.00,18.00,12.00,4.80,4.69,0.28,23.34,18.00,23.34,4.80
1.005815407,C0,2.02,9.37,11.93,0.89,,,,,,,,,,,,,,2.02,9.37,11.93,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.02,9.37,11.93,0.89,,9.37,11.93,0.89,,,,,,,,,2.02,9.37,11.93,0.89,,0.89,2.02
1.697183035,C0-T0,24.77,,,10.96,15.85,,22.36,1.65,0.32,0.01,0.00,2.79,178.00,1.14,0.12,1.15,1.15,24.77,,,10.96,15.85,,22.36,1.65,0.32,0.01,0.00,2.79,178.00,1.14,0.12,1.15,1.15,,,,,,,,,,,,,,,,,,,,,,24.77,,,10.96,0.12,,,10.96,,,,,,,,,24.77,,,10.96,,10.96,24.77
1.697183035,C1,5.54,,0.76,3.06,8.06,40.72,1.19,1420365070.00,1.00,0.84,13.06,1.62,5.67,73.73,0.37,0.70,710161423.00,5.54,,0.76,3.06,8.06,40.72,1.19,1420365070.00,1.00,0.84,13.06,1.62,5.67,73.73,0.37,0.70,710161423.00,844731937.00,0.24,0.69,5.25,8.46,71.25,2.55,355091267.50,0.18,0.37,6.75,4.65,0.68,1.00,116.71,8.16,1934821874.00,1.50,1407.00,1154.00,79.00,5.54,,0.76,3.06,0.37,,0.76,3.06,1.00,116.71,8.16,1934821874.00,1.50,1407.00,79.00,1154.00,5.54,,0.76,3.06,79.00,3.06,5.54
1.697183035,C1-T0,21.96,,72.36,71.32,,,,2.90,0.13,0.00,0.00,3.32,134.28,1.42,0.06,1.15,1.15,21.96,,72.36,71.32,,,,2.90,0.13,0.00,0.00,3.32,134.28,1.42,0.06,1.15,1.15,,,,,,,,,,,,,,,,,,,,,,21.96,,72.36,71.32,0.06,,72.36,71.32,,,,,,,,,21.96,,72.36,71.32,,71.32,21.96
