Thread 1:,Average,,,,
Size 1,,,,,
L1,,6.76,2.63,2.59,1.6
L2,,2.47,1.09,0.85,0.42
L3,,0.05,0.32,0.62,0.26
Branch Misses,,,,,
IPC,2.06,,,,
,,,,,
Thread 1:,Average,,,,
Size 4,,,,,
L1,,6.76,2.63,2.59,1.6
L2,,2.47,1.09,0.85,0.42
L3,,0.05,0.32,0.62,0.26
Branch Misses,,,,,
IPC,,,,,
,,,,,
Thread 1:,Average,,,,
Size 16,,,,,
L1,,6.76,2.63,2.59,1.6
L2,,2.47,1.09,0.85,0.42
L3,,0.05,0.32,0.62,0.26
Branch Misses,,,,,
IPC,,,,,
,,,,,
Thread 1:,Average,,,,
Size 64,,,,,
L1,,6.76,2.63,2.59,1.6
L2,,2.47,1.09,0.85,0.42
L3,,0.05,0.32,0.62,0.26
Branch Misses,,,,,
IPC,,,,,
,,,,,
Thread 1:,Average,,,,
Size 256,,,,,
L1,,6.76,2.63,2.59,1.6
L2,,2.47,1.09,0.85,0.42
L3,,0.05,0.32,0.62,0.26
Branch Misses,,,,,
IPC,,,,,
